objid,author_ML_score,protege_score,protege_rank,ra,dec,peak_flux,x,y,original_image,obj_size_pixels,evaluation_subset_author_ML_score
img82_isl1139,-1,2.450563013519404,1188,97.0123,-53.7587,0.01042352835257,1019,1543,J0626.3-5341_aFix_pol_I_Farcsec_5pln_cor.FITS,64,-1
img85_isl6937,-1,2.4494960690651,1189,98.8164,-53.7654,0.00119710561427,3373,2419,J0638.7-5358_aFix_pol_I_Farcsec_5pln_cor.FITS,71,-1
img22_isl5374,-1,2.4486837953117084,1190,356.4132,-28.3188,0.00013084577489,3046,1457,Abell_4038_aFix_pol_I_Farcsec_5pln_cor.FITS,42,-1
img28_isl3874,-1,2.448499622396099,1191,33.6976,-47.8809,0.00178381416334,2581,2988,J0216.3-4816_aFix_pol_I_Farcsec_5pln_cor.FITS,48,2
img44_isl5284,-1,2.448079679226589,1192,6.0011,-50.4739,0.00051973790147,3264,1077,J0027.3-5015_aFix_pol_I_Farcsec_5pln_cor.FITS,58,-1
img63_isl3124,-1,2.448000966157583,1193,64.3789,-11.6045,0.00503678567241,1772,2605,MACSJ0417.5-1155_aFix_pol_I_Farcsec_5pln_cor.FITS,71,-1
img61_isl3628,-1,2.4478221065049013,1194,116.1272,-53.6583,0.05301558037222,2099,3076,J0745.1-5404_aFix_pol_I_Farcsec_5pln_cor.FITS,131,-1
img56_isl1157,-1,2.447487310549674,1195,3.6438,-20.0031,0.02700363660052,1025,281,Abell_13_noFix_pol_I_Farcsec_5pln_cor.FITS,108,-1
img105_isl4512,-1,2.4471548051396943,1196,56.198,-82.7106,0.00046134323596,2290,295,J0351.1-8212_aFix_pol_I_Farcsec_5pln_cor.FITS,65,-1
img31_isl2789,-1,2.44564542672198,1197,82.9913,-12.125,0.00041972681872,2039,52,Abell_545_aFix_pol_I_Farcsec_5pln_cor.FITS,52,-1
img50_isl3786,-1,2.4443435528865773,1198,61.2885,-71.3943,0.00078631072404,2098,1383,J0406.7-7116_aFix_pol_I_Farcsec_5pln_cor.FITS,43,-1
img94_isl737,-1,2.4440146258904507,1199,50.06,-43.9737,0.00356778527969,555,2488,J0317.9-4414_aFix_pol_I_Farcsec_5pln_cor.FITS,99,-1
img29_isl3618,-1,2.4430616591472583,1200,94.1753,-48.0517,0.00010158421994,1822,1017,J0616.8-4748_aFix_pol_I_Farcsec_5pln_cor.FITS,40,-1
img114_isl2813,-1,2.44283497608229,1201,79.1721,-54.6286,0.00107965753691,1784,1464,J0516.6-5430_aFix_pol_I_Farcsec_5pln_cor.FITS,88,-1
img5_isl3482,-1,2.4425986230696592,1202,114.6777,-74.9494,0.00038998910815,1625,2182,J0738.1-7506_aFix_pol_I_Farcsec_5pln_cor.FITS,52,3
img77_isl770,-1,2.4422732146572907,1203,96.8283,-54.4175,0.00627201071324,1778,1965,J0627.2-5428_aFix_pol_I_Farcsec_5pln_cor.FITS,54,-1
img22_isl2016,-1,2.4411208919618472,1204,357.0811,-28.232,0.0008378066961,1273,1720,Abell_4038_aFix_pol_I_Farcsec_5pln_cor.FITS,45,-1
img65_isl2660,-1,2.440961409823986,1205,35.9324,-29.7391,0.00047949072483,2835,1038,RXCJ0225.1-22928_aFix_pol_I_Farcsec_5pln_cor.FITS,75,2
img27_isl2585,-1,2.440674012945185,1206,15.664,-21.9514,0.0003678775583,1875,1593,Abell_133_aFix_pol_I_Farcsec_5pln_cor.FITS,50,-1
img63_isl3750,-1,2.440508847850061,1207,64.2576,-11.8261,0.00042926196859,2114,1967,MACSJ0417.5-1155_aFix_pol_I_Farcsec_5pln_cor.FITS,60,-1
img26_isl961,2,2.4401838765241948,1208,80.0805,-13.2967,0.00119281226143,2054,2320,RXC_J0520.7-1328_aFix_pol_I_Farcsec_5pln_cor.FITS,65,-1
img50_isl1608,-1,2.4398970888441944,1209,62.5062,-71.1498,8.261353368e-05,970,2084,J0406.7-7116_aFix_pol_I_Farcsec_5pln_cor.FITS,32,-1
img80_isl3622,-1,2.4388868549632936,1210,198.2028,-24.8382,0.01380298754886,2892,3066,RXCJ1314_aFix_pol_I_Farcsec_5pln_cor.FITS,85,3
img24_isl3658,-1,2.438858806714134,1211,5.7811,-12.7387,0.00163141244281,3389,685,MACSJ_0025.4-1222B_aFix_pol_I_Farcsec_5pln_cor.FITS,55,-1
img45_isl2967,-1,2.438084985714942,1212,86.9373,-21.5518,0.00141450419181,2030,2832,Abell_3365A_noFix_pol_I_Farcsec_5pln_cor.FITS,67,-1
img51_isl5322,-1,2.437964091359822,1213,201.3283,-31.8731,0.0010811757796,3472,656,Abell_3558_aFix_pol_I_Farcsec_5pln_cor.FITS,56,-1
img34_isl1894,-1,2.4370696093561426,1214,11.0225,-20.5617,0.00189507374935,1268,1900,Abell_2813_noFix_pol_I_Farcsec_5pln_cor.FITS,75,-1
img1_isl1429,-1,2.4344499951774083,1215,253.5244,-59.5242,0.01251197902263,1394,2439,J1653.0-5943_aFix_pol_I_Farcsec_5pln_cor.FITS,46,-1
img33_isl744,-1,2.434368981223266,1216,19.1023,0.7315,0.00064029537126,869,3265,Abell_168_aFix_pol_I_Farcsec_5pln_cor.FITS,41,-1
img108_isl4256,-1,2.434261084577056,1217,84.5942,-40.331,0.0011908417177,2678,3198,J0540.1-4050_aFix_pol_I_Farcsec_5pln_cor.FITS,41,1
img31_isl1973,-1,2.434124904643066,1218,83.1598,-11.0885,0.01317035841605,1564,3038,Abell_545_aFix_pol_I_Farcsec_5pln_cor.FITS,89,-1
img16_isl2756,-1,2.4330237429662844,1219,77.5784,-45.325,0.01822388726665,1688,1716,J0510.2-4519_aFix_pol_I_Farcsec_5pln_cor.FITS,99,-1
img106_isl747,-1,2.4323862101376346,1220,38.6693,-44.7809,0.05953031436575,527,498,J0232.2-4420_aFix_pol_I_Farcsec_5pln_cor.FITS,76,-1
img93_isl2849,-1,2.4317714134061585,1221,3.9344,-66.1101,0.00222978390758,1312,1632,J0014.3-6604_aFix_pol_I_Farcsec_5pln_cor.FITS,52,-1
img9_isl3131,-1,2.4316072561924997,1222,90.3285,-58.6958,0.00936725751912,1538,1416,J0600.8-5835_aFix_pol_I_Farcsec_5pln_cor.FITS,69,2
img10_isl1733,-1,2.4313654502820365,1223,39.7808,-1.0581,0.00295386093814,2245,3248,Abell_370_afix_pol_I_Farcsec_5pln_cor.FITS,59,-1
img37_isl3092,-1,2.43094018576673,1224,86.4737,-25.5757,0.00616029776706,2578,1930,Abell_548_aFix_pol_I_Farcsec_5pln_cor.FITS,75,-1
img52_isl3398,-1,2.4309306623934708,1225,234.3461,-84.1771,0.00107444541964,1906,43,J1539.5-8335_aFix_pol_I_Farcsec_5pln_cor.FITS,46,-1
img31_isl4367,-1,2.430912196525033,1226,82.6319,-11.5605,0.00043336106604,3054,1677,Abell_545_aFix_pol_I_Farcsec_5pln_cor.FITS,98,-1
img42_isl4371,-1,2.430908074067154,1227,4.8756,-26.0606,0.00078887501603,2581,787,Abell_22_aFix_pol_I_Farcsec_5pln_cor.FITS,83,-1
img93_isl7744,-1,2.4301647198727654,1228,2.2763,-65.4938,0.00046067667672,3283,3392,J0014.3-6604_aFix_pol_I_Farcsec_5pln_cor.FITS,67,-1
img16_isl627,-1,2.4288342379819503,1229,78.1637,-44.7997,0.00182837864435,491,3225,J0510.2-4519_aFix_pol_I_Farcsec_5pln_cor.FITS,48,-1
img93_isl7989,-1,2.427227580763609,1230,2.1348,-65.7609,0.0031965157733,3434,2619,J0014.3-6604_aFix_pol_I_Farcsec_5pln_cor.FITS,43,-1
img49_isl5415,-1,2.427020117217598,1231,122.2064,-57.2075,0.00326608408853,3310,1881,J0812.5-5714_aFix_pol_I_Farcsec_5pln_cor.FITS,43,-1
img84_isl3633,-1,2.426406983609191,1232,55.5028,-53.8041,0.00128026498028,2105,1242,J0342.8-5338_aFix_pol_I_Farcsec_5pln_cor.FITS,60,-1
img4_isl6487,-1,2.426295018190768,1233,35.7973,-42.1107,0.01172878360884,3182,1144,J0225.9-4154_aFix_pol_I_Farcsec_5pln_cor.FITS,103,2
img63_isl3764,-1,2.4246384822648657,1234,64.2598,-11.3464,0.00025022663002,2108,3348,MACSJ0417.5-1155_aFix_pol_I_Farcsec_5pln_cor.FITS,39,-1
img6_isl1715,-1,2.422812389810547,1235,6.7944,-19.806,0.0119082625945,1687,866,Abell_33_noFix_pol_I_Farcsec_5pln_cor.FITS,76,3
img4_isl5752,-1,2.422712120989296,1236,36.0247,-41.9251,0.0004054081811,2699,1682,J0225.9-4154_aFix_pol_I_Farcsec_5pln_cor.FITS,69,2
img95_isl1623,-1,2.421804048322091,1237,86.7076,-48.3989,0.0017700663358,1098,406,J0545.5-4756_aFix_pol_I_Farcsec_5pln_cor.FITS,61,-1
img23_isl1375,-1,2.421790863456668,1238,335.8494,-52.4526,0.004316264092,1217,2114,J2222.2-5235_aFix_pol_I_Farcsec_5pln_cor.FITS,69,-1
img58_isl2698,-1,2.421502857092836,1239,90.1998,-39.4399,0.00060684039119,2334,3451,Abell_3376_aFix_pol_I_Farcsec_5pln_cor.FITS,58,-1
img107_isl2342,-1,2.4214588842442275,1240,44.4399,-22.1464,0.00175100992797,1670,1775,MACS_J0257.6-2209_aFix_pol_I_Farcsec_5pln_cor.FITS,57,-1
img47_isl747,-1,2.420319487683916,1241,99.9738,-48.7238,0.00726626797042,527,1062,J0637.3-4828_aFix_pol_I_Farcsec_5pln_cor.FITS,87,-1
img58_isl3764,-1,2.419685819168156,1242,89.8053,-39.8324,0.00203100701672,3244,2264,Abell_3376_aFix_pol_I_Farcsec_5pln_cor.FITS,49,-1
img69_isl1088,-1,2.419417072436224,1243,49.1313,-44.8975,0.00207261189612,637,3391,J0314.3-4525_aFix_pol_I_Farcsec_5pln_cor.FITS,61,-1
img11_isl1513,-1,2.4194053427797324,1244,10.6483,-9.8697,0.07311766368489,1228,145,Abell_85_aFix_pol_I_Farcsec_5pln_cor.FITS,99,-1
img11_isl1560,-1,2.4188726701158734,1245,10.6413,-9.72,0.00160709043629,1249,596,Abell_85_aFix_pol_I_Farcsec_5pln_cor.FITS,51,-1
img65_isl918,-1,2.4184089705162326,1246,36.5377,-29.6588,0.00045666462605,1322,1271,RXCJ0225.1-22928_aFix_pol_I_Farcsec_5pln_cor.FITS,49,2
img67_isl4376,-1,2.4183739377963525,1247,51.7548,-55.5578,0.00026841360765,2492,2274,J0328.6-5542_aFix_pol_I_Farcsec_5pln_cor.FITS,51,-1
img4_isl3614,-1,2.418312235428668,1248,36.4563,-42.1346,0.00196333267644,1774,1081,J0225.9-4154_aFix_pol_I_Farcsec_5pln_cor.FITS,56,4
img88_isl5809,-1,2.4180758623453533,1249,357.5238,-26.3161,0.07456934669365,2750,1058,Abell_2667_noFix_pol_I_Farcsec_5pln_cor.FITS,98,-1
img73_isl2909,-1,2.41678900911214,1250,125.2406,-57.0943,0.34386079637542,1821,1765,J0820.9-5704_aFix_pol_I_Farcsec_5pln_cor.FITS,50,-1
img5_isl3684,-1,2.4149575180466147,1251,114.5347,-75.1122,0.00526918126585,1731,1713,J0738.1-7506_aFix_pol_I_Farcsec_5pln_cor.FITS,69,4
img105_isl5146,-1,2.414856019847694,1252,55.5548,-82.0569,0.02837184849494,2595,2154,J0351.1-8212_aFix_pol_I_Farcsec_5pln_cor.FITS,84,-1
img98_isl309,-1,2.414421559398349,1253,147.8756,-76.3478,0.00229263025375,356,1661,J0943.4-7619_aFix_pol_I_Farcsec_5pln_cor.FITS,52,-1
img94_isl2982,-1,2.414403795155592,1254,49.5127,-44.2549,0.00014652587673,1690,1682,J0317.9-4414_aFix_pol_I_Farcsec_5pln_cor.FITS,29,-1
img107_isl2591,-1,2.413848219502164,1255,44.3864,-22.1469,0.00578773552443,1813,1774,MACS_J0257.6-2209_aFix_pol_I_Farcsec_5pln_cor.FITS,53,-1
img12_isl1730,-1,2.411594686587092,1256,357.9923,-85.6537,0.00133286914255,1076,340,J2340.1-8510_aFix_pol_I_Farcsec_5pln_cor.FITS,69,-1
img34_isl2604,-1,2.4113649566344284,1257,10.8739,-20.4796,0.00252188470507,1668,2137,Abell_2813_noFix_pol_I_Farcsec_5pln_cor.FITS,44,-1
img97_isl2963,-1,2.411022262442801,1258,91.6381,-49.8737,0.00071245008909,2038,631,J0607.0-4928_aFix_pol_I_Farcsec_5pln_cor.FITS,36,-1
img20_isl472,-1,2.4106293882684624,1259,85.695,-43.6879,0.00238427199052,386,881,J0540.1-4322_aFix_pol_I_Farcsec_5pln_cor.FITS,52,-1
img7_isl5975,-1,2.410336749483652,1260,143.1703,-83.5783,0.00016700753319,3046,1373,J0948.6-8327_aFix_pol_I_Farcsec_5pln_cor.FITS,48,3
img93_isl5734,-1,2.4099328684171235,1261,3.0321,-66.347,0.00013301328285,2358,948,J0014.3-6604_aFix_pol_I_Farcsec_5pln_cor.FITS,43,-1
img42_isl3033,-1,2.409819504525864,1262,5.1106,-25.8398,0.00144911351106,1945,1453,Abell_22_aFix_pol_I_Farcsec_5pln_cor.FITS,53,-1
img15_isl1798,-1,2.409544370344534,1263,191.9559,-41.8493,0.02177312353794,2251,168,J1248.7-4118_aFix_pol_I_Farcsec_5pln_cor.FITS,53,-1
img95_isl3306,-1,2.4085541866927613,1264,86.3054,-47.9151,0.00114722649853,1869,1801,J0545.5-4756_aFix_pol_I_Farcsec_5pln_cor.FITS,42,-1
img65_isl730,-1,2.408412134854927,1265,36.6236,-29.3011,0.00057808881905,1104,2300,RXCJ0225.1-22928_aFix_pol_I_Farcsec_5pln_cor.FITS,54,2
img8_isl276,-1,2.407667681654325,1266,342.9399,-44.6188,0.00164661134337,181,1530,Abell_S1063_nofix_pol_I_Farcsec_5pln_cor.FITS,52,-1
img7_isl2488,-1,2.40743959158958,1267,148.1442,-83.7873,0.01826076091972,1438,807,J0948.6-8327_aFix_pol_I_Farcsec_5pln_cor.FITS,88,2
img92_isl5498,-1,2.407075645877013,1268,32.5538,-47.3304,0.00064890411547,3038,1154,J0212.8-4707_aFix_pol_I_Farcsec_5pln_cor.FITS,51,-1
img61_isl3253,-1,2.40679243547804,1269,116.2551,-54.0076,5.319807952e-05,1870,2023,J0745.1-5404_aFix_pol_I_Farcsec_5pln_cor.FITS,37,-1
img83_isl4805,-1,2.4063882357286004,1270,56.4955,-73.6256,0.00044687198837,3070,2897,J0352.4-7401_aFix_pol_I_Farcsec_5pln_cor.FITS,57,-1
img106_isl2516,-1,2.4062195769857,1271,38.2842,-44.3227,0.00025617291779,1347,1883,J0232.2-4420_aFix_pol_I_Farcsec_5pln_cor.FITS,54,-1
img30_isl2545,-1,2.4062144974376727,1272,255.7286,-81.9568,0.03972433099182,1984,2387,J1705.1-8210_aFix_pol_I_Farcsec_5pln_cor.FITS,100,1
img4_isl2561,-1,2.4061938722475222,1273,36.6663,-42.264,0.00047564750919,1326,708,J0225.9-4154_aFix_pol_I_Farcsec_5pln_cor.FITS,51,3
img35_isl2455,-1,2.405033297912368,1274,104.7372,-55.9278,0.00238955597685,1555,1783,J0658.5-5556_aFix_pol_I_Farcsec_5pln_cor.FITS,69,-1
img101_isl3481,-1,2.404682727636916,1275,189.9722,-48.506,0.00068663549843,1890,1518,J1240.2-4825_aFix_pol_I_Farcsec_5pln_cor.FITS,40,-1
img110_isl2420,-1,2.4044670142252187,1276,19.5598,-27.1647,0.00347203265271,1694,1177,Abell_2895_noFix_pol_I_Farcsec_5pln_cor.FITS,58,-1
img61_isl1104,-1,2.4043393754814466,1277,116.8555,-54.1853,0.00680773773721,811,1484,J0745.1-5404_aFix_pol_I_Farcsec_5pln_cor.FITS,54,-1
img4_isl5613,-1,2.40323610584678,1278,36.0598,-41.804,0.00046003837809,2625,2031,J0225.9-4154_aFix_pol_I_Farcsec_5pln_cor.FITS,54,2
img53_isl2606,-1,2.402963521834872,1279,34.4425,-52.7464,0.01101086446833,1485,1730,J0217.2-5244_aFix_pol_I_Farcsec_5pln_cor.FITS,89,-1
img8_isl5375,-1,2.402705460527939,1280,341.9015,-44.3328,0.02366166224407,2412,2398,Abell_S1063_nofix_pol_I_Farcsec_5pln_cor.FITS,58,-1
img102_isl371,-1,2.4021297477198265,1281,161.6682,-71.2959,0.00322922140872,361,275,J1040.7-7047_aFix_pol_I_Farcsec_5pln_cor.FITS,74,-1
img87_isl2740,-1,2.4014280498203844,1282,250.3336,-73.5298,0.00877235478477,2604,1899,J1645.4-7334_aFix_pol_I_Farcsec_5pln_cor.FITS,158,-1
img113_isl4,-1,2.4014088756191114,1283,120.4253,-53.3176,0.00082769491866,40,1562,J0757.7-5315_aFix_pol_I_Farcsec_5pln_cor.FITS,80,-1
img81_isl3481,1,2.4012691907010875,1284,305.8777,-55.3685,0.00010256228417,1687,2373,J2023.4-5535_aFix_pol_I_Farcsec_5pln_cor.FITS,38,-1
img54_isl1839,-1,2.4011840636744943,1285,72.8184,-45.0602,0.0013384780093,1041,626,J0449.9-4440_aFix_pol_I_Farcsec_5pln_cor.FITS,59,-1
img0_isl2875,-1,2.4009189262591377,1286,96.017,-55.5985,5.642436145e-05,2219,1016,J0625.2-5521_aFix_pol_I_Farcsec_5pln_cor.FITS,36,-1
img75_isl4386,-1,2.400458573253195,1287,97.726,-56.3616,0.0006103388083,1906,1182,J0631.3-5610_aFix_pol_I_Farcsec_5pln_cor.FITS,70,-1
img114_isl5526,-1,2.399718128826235,1288,78.3087,-54.5406,0.0037224545809,3294,1721,J0516.6-5430_aFix_pol_I_Farcsec_5pln_cor.FITS,47,-1
img104_isl890,-1,2.3994102291900026,1289,102.0627,-54.1586,0.00097863979875,565,1895,J0645.4-5413_aFix_pol_I_Farcsec_5pln_cor.FITS,46,-1
img56_isl1648,-1,2.3993858261179506,1290,3.5448,-19.069,0.00501023059341,1291,2972,Abell_13_noFix_pol_I_Farcsec_5pln_cor.FITS,46,-1
img104_isl2813,-1,2.397102044561501,1291,101.4359,-54.6379,0.02784287287956,1623,520,J0645.4-5413_aFix_pol_I_Farcsec_5pln_cor.FITS,87,-1
img0_isl1434,-1,2.3970169580101635,1292,96.5984,-55.5983,0.000175251197,1273,1016,J0625.2-5521_aFix_pol_I_Farcsec_5pln_cor.FITS,42,-1
img62_isl259,-1,2.3969566578580865,1293,86.4186,-41.2002,0.00135466380677,198,1149,J0542.8-4100_aFix_pol_I_Farcsec_5pln_cor.FITS,56,-1
img82_isl888,-1,2.396344885185297,1294,97.1666,-53.9756,0.02141271957864,761,917,J0626.3-5341_aFix_pol_I_Farcsec_5pln_cor.FITS,62,-1
img97_isl28,-1,2.395475630617129,1295,92.6675,-49.4203,0.00016064319885,22,1987,J0607.0-4928_aFix_pol_I_Farcsec_5pln_cor.FITS,30,-1
img18_isl847,-1,2.395470961825003,1296,42.1359,-52.5363,0.00017633582631,458,3314,Abell_S295_aFix_pol_I_Farcsec_5pln_cor.FITS,40,2
img109_isl3222,-1,2.395075243320093,1297,82.3054,-39.504,0.00665277042628,1572,1609,J0528.9-3927_B_aFix_pol_I_Farcsec_5pln_cor.FITS,82,-1
img89_isl2866,-1,2.3940045100531884,1298,354.9729,-9.0487,0.00509941381783,2715,1667,Abell_2645_noFix_pol_I_Farcsec_5pln_cor.FITS,65,2
img33_isl124,-1,2.393837943791246,1299,19.319,0.0489,0.00696441217088,216,1209,Abell_168_aFix_pol_I_Farcsec_5pln_cor.FITS,64,-1
img75_isl7075,-1,2.393605590863225,1300,97.0625,-56.3585,0.00048701295263,2964,1184,J0631.3-5610_aFix_pol_I_Farcsec_5pln_cor.FITS,47,-1
img103_isl760,-1,2.393600764138037,1301,26.9342,-52.7683,0.00016068366727,554,2430,J0145.0-5300_aFix_pol_I_Farcsec_5pln_cor.FITS,122,-1
img34_isl1213,-1,2.393346503227717,1302,11.1618,-20.2532,0.00026936907027,890,2788,Abell_2813_noFix_pol_I_Farcsec_5pln_cor.FITS,40,-1
img45_isl122,-1,2.3931073699680883,1303,87.668,-22.5201,0.00027525961211,84,40,Abell_3365A_noFix_pol_I_Farcsec_5pln_cor.FITS,54,-1
img78_isl3026,2,2.3924078862627245,1304,3.4266,-30.3644,0.0225212834109,2174,1864,Abell_2744_aFix_pol_I_Farcsec_5pln_cor.FITS,79,-1
img23_isl3647,-1,2.3921445319977144,1305,335.1422,-52.1442,0.10291799353688,2463,3001,J2222.2-5235_aFix_pol_I_Farcsec_5pln_cor.FITS,72,-1
img41_isl5759,-1,2.389566569368119,1306,19.0164,-54.5813,0.00103304664314,2470,2713,J0117.8-5455_aFix_pol_I_Farcsec_5pln_cor.FITS,62,-1
img29_isl4563,-1,2.389134921109073,1307,93.9669,-47.7094,0.00028895344194,2226,2002,J0616.8-4748_aFix_pol_I_Farcsec_5pln_cor.FITS,33,-1
img27_isl1274,-1,2.3882586619757324,1308,16.0194,-21.5919,0.00022324931416,879,2676,Abell_133_aFix_pol_I_Farcsec_5pln_cor.FITS,47,-1
img56_isl1083,-1,2.3871180149183964,1309,3.6579,-18.913,0.00700488996226,982,3421,Abell_13_noFix_pol_I_Farcsec_5pln_cor.FITS,51,-1
img67_isl1514,-1,2.386405181551287,1310,52.5667,-55.9463,0.00062742774326,1115,1103,J0328.6-5542_aFix_pol_I_Farcsec_5pln_cor.FITS,50,-1
img36_isl884,-1,2.386093820033697,1311,93.2597,-48.2926,0.00352106201973,529,3205,J0610.5-4848_aFix_pol_I_Farcsec_5pln_cor.FITS,47,-1
img108_isl4270,-1,2.386027594283902,1312,84.5866,-40.3289,0.14093278667015,2695,3204,J0540.1-4050_aFix_pol_I_Farcsec_5pln_cor.FITS,85,1
img42_isl1743,-1,2.385917978959391,1313,5.3482,-25.2207,0.00478220518057,1297,3319,Abell_22_aFix_pol_I_Farcsec_5pln_cor.FITS,49,-1
img6_isl2345,-1,2.3855311815819182,1314,6.5789,-19.4477,0.00546765322307,2272,1898,Abell_33_noFix_pol_I_Farcsec_5pln_cor.FITS,99,3
img47_isl2635,-1,2.3852683692643497,1315,99.5005,-48.0639,0.00026404092526,1464,3056,J0637.3-4828_aFix_pol_I_Farcsec_5pln_cor.FITS,44,-1
img54_isl3335,-1,2.385217792876354,1316,72.5099,-44.198,0.01409500093078,1668,3111,J0449.9-4440_aFix_pol_I_Farcsec_5pln_cor.FITS,71,-1
img101_isl1138,-1,2.38487395899016,1317,190.573,-48.3646,0.00130256446868,741,1921,J1240.2-4825_aFix_pol_I_Farcsec_5pln_cor.FITS,55,-1
img70_isl2395,-1,2.38478818752448,1318,81.487,-47.5995,0.00186729486877,1687,723,J0525.8-4715_aFix_pol_I_Farcsec_5pln_cor.FITS,57,-1
img111_isl1096,-1,2.3844590625450484,1319,172.9474,-42.7994,0.00047134954374,833,85,J1130.0-4213_aFix_pol_I_Farcsec_5pln_cor.FITS,71,-1
img114_isl2337,-1,2.3840294760866785,1320,79.3185,-54.8058,0.00096743449337,1530,930,J0516.6-5430_aFix_pol_I_Farcsec_5pln_cor.FITS,58,-1
img100_isl526,-1,2.383331613770863,1321,351.6073,-12.0254,0.05240564791371,953,2013,Abell_2597_noFix_pol_I_Farcsec_5pln_cor.FITS,88,-1
img78_isl4830,-1,2.3832001214927576,1322,2.9307,-30.2794,0.00033361454162,3464,2116,Abell_2744_aFix_pol_I_Farcsec_5pln_cor.FITS,43,-1
img93_isl3890,-1,2.382981618064585,1323,3.5997,-66.528,0.0001536335212,1703,429,J0014.3-6604_aFix_pol_I_Farcsec_5pln_cor.FITS,65,-1
img96_isl757,-1,2.3822507955644947,1324,234.2657,-47.1734,0.00093872128278,792,1167,J1535.1-4658_aFix_pol_I_Farcsec_5pln_cor.FITS,55,-1
img79_isl2357,-1,2.381669071123029,1325,15.8252,-48.7492,0.00094228667755,1597,3316,ElGordo_aFix_pol_I_Farcsec_5pln_cor.FITS,63,2
img84_isl3874,-1,2.3812451144251345,1326,55.4283,-53.9972,0.00029519594062,2229,685,J0342.8-5338_aFix_pol_I_Farcsec_5pln_cor.FITS,61,-1
img15_isl56,-1,2.380428249164086,1327,192.9571,-40.7673,0.00010746671188,76,3278,J1248.7-4118_aFix_pol_I_Farcsec_5pln_cor.FITS,23,-1
img88_isl3683,-1,2.380329861879797,1328,357.9022,-26.5364,0.00051827690991,1773,425,Abell_2667_noFix_pol_I_Farcsec_5pln_cor.FITS,50,-1
img103_isl841,-1,2.3803046901072222,1329,26.9033,-52.9544,0.21069992423235,612,1895,J0145.0-5300_aFix_pol_I_Farcsec_5pln_cor.FITS,109,-1
img5_isl3420,-1,2.3795434949434884,1330,114.6969,-75.5073,0.00025026902609,1614,575,J0738.1-7506_aFix_pol_I_Farcsec_5pln_cor.FITS,74,2
img84_isl4097,-1,2.379480204435665,1331,55.3732,-53.2912,0.00168860312307,2333,2718,J0342.8-5338_aFix_pol_I_Farcsec_5pln_cor.FITS,69,-1
img53_isl4954,-1,2.378734695234412,1332,33.788,-52.5895,0.00532686066686,2629,2179,J0217.2-5244_aFix_pol_I_Farcsec_5pln_cor.FITS,78,-1
img42_isl2488,-1,2.378114442531038,1333,5.2109,-25.9517,0.00086681242145,1673,1116,Abell_22_aFix_pol_I_Farcsec_5pln_cor.FITS,48,-1
img40_isl3936,-1,2.3780607500710578,1334,63.735,-55.6078,0.00407099281302,2463,1183,J0416.7-5525_aFix_pol_I_Farcsec_5pln_cor.FITS,84,-1
img70_isl1821,-1,2.377976205654786,1335,81.6862,-46.898,0.00060881572946,1294,2742,J0525.8-4715_aFix_pol_I_Farcsec_5pln_cor.FITS,59,-1
img22_isl3701,-1,2.376766299012671,1336,356.7662,-27.7567,0.00100372157279,2111,3153,Abell_4038_aFix_pol_I_Farcsec_5pln_cor.FITS,59,-1
img62_isl6366,-1,2.37617226341646,1337,85.1799,-41.1778,0.0007297364464,2883,1216,J0542.8-4100_aFix_pol_I_Farcsec_5pln_cor.FITS,56,-1
img35_isl196,-1,2.3752327335317163,1338,105.6323,-55.9951,0.00091541856522,113,1578,J0658.5-5556_aFix_pol_I_Farcsec_5pln_cor.FITS,51,-1
img10_isl448,-1,2.3746662957840963,1339,40.258,-1.0133,0.00389869001283,871,3377,Abell_370_afix_pol_I_Farcsec_5pln_cor.FITS,62,-1
img46_isl468,-1,2.374571178056579,1340,54.6727,-40.8772,0.0008361488487,434,990,J0336.3-4037_aFix_pol_I_Farcsec_5pln_cor.FITS,40,-1
img110_isl4215,-1,2.373726584982964,1341,19.2211,-27.0195,0.00569470071883,2563,1594,Abell_2895_noFix_pol_I_Farcsec_5pln_cor.FITS,68,-1
img34_isl4607,-1,2.372148181403064,1342,10.259,-20.2886,0.02930621379399,3329,2684,Abell_2813_noFix_pol_I_Farcsec_5pln_cor.FITS,64,-1
img80_isl986,-1,2.3719564932522617,1343,198.8689,-24.7543,0.00360388470917,1070,3319,RXCJ1314_aFix_pol_I_Farcsec_5pln_cor.FITS,65,3
img101_isl1562,-1,2.370913870677751,1344,190.4606,-48.6234,0.00202161383223,960,1178,J1240.2-4825_aFix_pol_I_Farcsec_5pln_cor.FITS,43,-1
img47_isl5599,-1,2.3701802430623142,1345,98.7012,-48.52,0.00245243212965,3062,1676,J0637.3-4828_aFix_pol_I_Farcsec_5pln_cor.FITS,70,-1
img84_isl5159,-1,2.368994392087986,1346,55.0561,-53.3784,0.00081029857189,2876,2463,J0342.8-5338_aFix_pol_I_Farcsec_5pln_cor.FITS,56,-1
img63_isl2909,-1,2.368912007778383,1347,64.4188,-11.8961,0.00104960091637,1659,1765,MACSJ0417.5-1155_aFix_pol_I_Farcsec_5pln_cor.FITS,61,-1
img46_isl2743,-1,2.36875364926414,1348,54.0834,-40.6191,0.00148355841699,1717,1737,J0336.3-4037_aFix_pol_I_Farcsec_5pln_cor.FITS,49,-1
