objid,author_ML_score,protege_score,protege_rank,ra,dec,peak_flux,x,y,original_image,obj_size_pixels,evaluation_subset_author_ML_score
img15_isl2011,3,3.609101944643445,128,191.8201,-41.1317,0.00076586816377,2551,2234,J1248.7-4118_aFix_pol_I_Farcsec_5pln_cor.FITS,89,-1
img94_isl4297,3,3.60633306656075,129,49.163,-43.857,0.07738244687805,2416,2827,J0317.9-4414_aFix_pol_I_Farcsec_5pln_cor.FITS,98,-1
img109_isl3378,4,3.603493562461283,130,82.2814,-39.422,0.00021254478679,1626,1845,J0528.9-3927_B_aFix_pol_I_Farcsec_5pln_cor.FITS,70,-1
img61_isl5875,4,3.5989621502022664,131,115.4873,-53.9294,0.00010402525781,3233,2251,J0745.1-5404_aFix_pol_I_Farcsec_5pln_cor.FITS,59,-1
img63_isl3613,4,3.598673746652116,132,64.2831,-11.8248,0.00045753557084,2042,1971,MACSJ0417.5-1155_aFix_pol_I_Farcsec_5pln_cor.FITS,91,-1
img11_isl1118,5,3.596906650641138,133,10.744,-9.2303,0.02148694068544,942,2072,Abell_85_aFix_pol_I_Farcsec_5pln_cor.FITS,86,-1
img41_isl475,4,3.5938962994088524,134,20.3358,-55.4823,0.00313789576536,300,111,J0117.8-5455_aFix_pol_I_Farcsec_5pln_cor.FITS,140,-1
img112_isl3802,4,3.593105173353441,135,315.433,-82.162,0.00056247159557,2064,3369,J2104.9-8243_aFix_pol_I_Farcsec_5pln_cor.FITS,128,-1
img71_isl4783,4,3.592688861836496,136,12.5194,-48.3955,0.00021578081109,2259,2200,J0051.1-4833_aFix_pol_I_Farcsec_5pln_cor.FITS,73,-1
img81_isl182,3,3.591326833414204,137,306.8133,-55.3091,0.00052694500032,153,2533,J2023.4-5535_aFix_pol_I_Farcsec_5pln_cor.FITS,170,-1
img44_isl4200,2,3.5904227187109243,138,6.3771,-49.7796,0.00331414883272,2587,3082,J0027.3-5015_aFix_pol_I_Farcsec_5pln_cor.FITS,210,-1
img91_isl95,5,3.5895280769085374,139,342.7297,-16.4544,0.00151549918503,91,723,Abell_2485_noFix_pol_I_Farcsec_5pln_cor.FITS,114,-1
img14_isl1778,5,3.5877652607613584,140,209.8974,-47.834,0.00021127236621,1485,1822,J1358.9-4750_aFix_pol_I_Farcsec_5pln_cor.FITS,133,-1
img41_isl3847,4,3.584396322729681,141,19.4528,-54.9261,0.03700695822861,1742,1722,J0117.8-5455_aFix_pol_I_Farcsec_5pln_cor.FITS,149,-1
img55_isl2397,4,3.582173118667298,142,67.1273,-61.9886,0.00025282247519,2706,155,J0431.4-6126_aFix_pol_I_Farcsec_5pln_cor.FITS,58,-1
img51_isl2086,4,3.579799892387057,143,202.0295,-31.7594,0.02436962951977,1677,1003,Abell_3558_aFix_pol_I_Farcsec_5pln_cor.FITS,241,-1
img63_isl2910,4,3.5749733550811174,144,64.4041,-11.4618,0.00223430726049,1701,3016,MACSJ0417.5-1155_aFix_pol_I_Farcsec_5pln_cor.FITS,114,-1
img13_isl3847,4,3.5719461134050263,145,22.5733,-13.8625,0.00054666288762,3026,945,Abell_209_aFix_pol_I_Farcsec_5pln_cor.FITS,88,4
img8_isl1907,5,3.5718763754635545,146,342.564,-44.5383,8.104797461e-05,986,1778,Abell_S1063_nofix_pol_I_Farcsec_5pln_cor.FITS,39,-1
img28_isl2316,5,3.566710947578575,147,34.2164,-48.1288,0.00616242535354,1534,2243,J0216.3-4816_aFix_pol_I_Farcsec_5pln_cor.FITS,159,5
img107_isl3965,3,3.565389102083921,148,43.9689,-21.8024,0.00082683370816,2929,2764,MACS_J0257.6-2209_aFix_pol_I_Farcsec_5pln_cor.FITS,175,-1
img55_isl1518,4,3.5645492336960105,149,67.7545,-61.3622,0.00201865926708,1860,1964,J0431.4-6126_aFix_pol_I_Farcsec_5pln_cor.FITS,330,-1
img48_isl1866,4,3.56071774627865,150,72.588,-3.0318,0.00115615834396,1806,1560,PLCK_G200.9-28.2_aFix_pol_I_Farcsec_5pln_cor.FITS,233,-1
img86_isl1760,4,3.5595673654573985,151,302.3433,-56.562,0.04994067184572,3132,2640,Abell_3667_aFix_pol_I_Farcsec_5pln_cor.FITS,225,-1
img69_isl3186,3,3.5590014891337582,152,48.6751,-45.4232,0.02873912426266,1613,1811,J0314.3-4525_aFix_pol_I_Farcsec_5pln_cor.FITS,252,-1
img83_isl2438,4,3.556676331373314,153,58.2661,-74.1725,8.521845946e-05,1627,1329,J0352.4-7401_aFix_pol_I_Farcsec_5pln_cor.FITS,120,-1
img49_isl3560,5,3.5566465519473685,154,122.8962,-57.1787,0.00457901318074,2184,1978,J0812.5-5714_aFix_pol_I_Farcsec_5pln_cor.FITS,111,-1
img22_isl1830,4,3.55539748976756,155,357.0971,-28.0757,0.00118375586461,1230,2191,Abell_4038_aFix_pol_I_Farcsec_5pln_cor.FITS,163,-1
img107_isl2444,4,3.552513457504745,156,44.4219,-22.1538,0.0001230905693,1718,1754,MACS_J0257.6-2209_aFix_pol_I_Farcsec_5pln_cor.FITS,47,-1
img40_isl78,5,3.550336112089413,157,65.1938,-55.9538,0.08015115464673,105,177,J0416.7-5525_aFix_pol_I_Farcsec_5pln_cor.FITS,138,-1
img8_isl3751,4,3.550238108684036,158,342.1937,-44.5195,0.00202866277254,1782,1837,Abell_S1063_nofix_pol_I_Farcsec_5pln_cor.FITS,172,-1
img86_isl1283,4,3.548616493215877,159,302.8608,-56.725,0.10371131538759,2271,2156,Abell_3667_aFix_pol_I_Farcsec_5pln_cor.FITS,222,-1
img58_isl1050,4,3.5431936346389348,160,90.7211,-39.9208,0.00060116170944,1125,2001,Abell_3376_aFix_pol_I_Farcsec_5pln_cor.FITS,685,-1
img32_isl436,2,3.538496322056689,161,78.1086,-8.4945,0.00123030103397,521,361,RXCJ0510.7-0801_aFix_Pol_I_Farcsec_5pln_cor.FITS,102,-1
img74_isl5269,4,3.5368806849027616,162,211.9906,-42.5809,0.00020344576434,3061,2289,J1410.4-4246_aFix_pol_I_Farcsec_5pln_cor.FITS,83,-1
img0_isl2586,4,3.5365434327715626,163,96.1387,-55.7246,0.00017626509486,2020,653,J0625.2-5521_aFix_pol_I_Farcsec_5pln_cor.FITS,65,-1
img65_isl552,4,3.5361432882431085,164,36.7047,-29.1617,0.00018375804723,900,2701,RXCJ0225.1-22928_aFix_pol_I_Farcsec_5pln_cor.FITS,61,4
img0_isl3026,3,3.5345136085128672,165,95.9153,-55.2204,0.00906893300546,2391,2104,J0625.2-5521_aFix_pol_I_Farcsec_5pln_cor.FITS,204,-1
img75_isl528,2,3.529357047879381,166,98.7295,-56.4016,0.00044052445941,306,1057,J0631.3-5610_aFix_pol_I_Farcsec_5pln_cor.FITS,140,-1
img12_isl5700,5,3.5273837239521453,167,348.1801,-85.2291,0.01237669049452,3342,1473,J2340.1-8510_aFix_pol_I_Farcsec_5pln_cor.FITS,175,-1
img105_isl4840,2,3.525876107136875,168,55.6526,-82.521,0.00074582064552,2508,830,J0351.1-8212_aFix_pol_I_Farcsec_5pln_cor.FITS,201,-1
img98_isl427,4,3.5186068455275987,169,147.6644,-76.6491,0.00176705895811,526,798,J0943.4-7619_aFix_pol_I_Farcsec_5pln_cor.FITS,88,-1
img79_isl4092,3,3.517364129243804,170,15.3468,-49.8283,0.00109481606104,2532,62,ElGordo_aFix_pol_I_Farcsec_5pln_cor.FITS,122,3
img69_isl1885,3,3.51431430097393,171,48.9286,-45.3022,0.00401211519388,1075,2174,J0314.3-4525_aFix_pol_I_Farcsec_5pln_cor.FITS,225,-1
img45_isl2670,4,3.5107958941596493,172,87.0013,-22.1899,0.0001702560801,1858,994,Abell_3365A_noFix_pol_I_Farcsec_5pln_cor.FITS,54,-1
img26_isl1512,2,3.506534075964687,173,79.6451,-13.8077,0.08929235800478,3271,847,RXC_J0520.7-1328_aFix_pol_I_Farcsec_5pln_cor.FITS,227,-1
img80_isl1659,5,3.5040220801093054,174,198.6887,-25.249,0.00103951932241,1564,1829,RXCJ1314_aFix_pol_I_Farcsec_5pln_cor.FITS,146,5
img69_isl5,4,3.4944341265915444,175,49.3896,-45.7544,0.00835967312193,112,804,J0314.3-4525_aFix_pol_I_Farcsec_5pln_cor.FITS,224,-1
img8_isl2963,4,3.485429364930297,176,342.3572,-44.6984,0.00079661988381,1432,1297,Abell_S1063_nofix_pol_I_Farcsec_5pln_cor.FITS,78,-1
img15_isl1341,5,3.4801335172453274,177,192.2061,-41.3122,0.76579050266568,1714,1716,J1248.7-4118_aFix_pol_I_Farcsec_5pln_cor.FITS,164,-1
img8_isl6353,5,3.479936619976027,178,341.6921,-44.8138,0.00113683553351,2854,946,Abell_S1063_nofix_pol_I_Farcsec_5pln_cor.FITS,99,-1
img77_isl915,4,3.4733258936067823,179,96.6526,-54.357,0.00609101748527,2086,2148,J0627.2-5428_aFix_pol_I_Farcsec_5pln_cor.FITS,65,-1
img63_isl3098,4,3.469075685592013,180,64.3709,-11.7827,9.109243782e-05,1795,2092,MACSJ0417.5-1155_aFix_pol_I_Farcsec_5pln_cor.FITS,98,-1
img28_isl2123,4,3.464232749015652,181,34.186,-47.8202,0.10473012161985,1594,3173,J0216.3-4816_aFix_pol_I_Farcsec_5pln_cor.FITS,559,4
img112_isl921,4,3.462998780574427,182,319.2743,-82.9244,0.00663213511517,659,1129,J2104.9-8243_aFix_pol_I_Farcsec_5pln_cor.FITS,181,-1
img35_isl4790,4,3.462016050189874,183,103.8315,-55.859,0.00515551067418,3018,1974,J0658.5-5556_aFix_pol_I_Farcsec_5pln_cor.FITS,160,-1
img104_isl2358,4,3.459614761364492,184,101.5918,-54.0722,0.00232416986977,1358,2149,J0645.4-5413_aFix_pol_I_Farcsec_5pln_cor.FITS,113,-1
img33_isl2160,4,3.457590016574269,185,18.6912,0.5783,0.0002174835987,2108,2804,Abell_168_aFix_pol_I_Farcsec_5pln_cor.FITS,301,-1
img20_isl1661,5,3.4569134295529045,186,85.3655,-42.8517,0.00218813669476,1094,3405,J0540.1-4322_aFix_pol_I_Farcsec_5pln_cor.FITS,109,-1
